datetime,open,high,low,close,volume
2024-04-23 10:20:00,48059.05,48064.0,48049.3,48058.55,0
2024-04-23 10:21:00,48061.85,48063.25,48042.9,48049.45,0
2024-04-23 10:22:00,48048.55,48067.3,48044.0,48055.55,0
2024-04-23 10:23:00,48053.8,48060.55,48050.5,48059.0,0
2024-04-23 10:24:00,48060.25,48065.2,48044.5,48064.2,0
2024-04-23 10:25:00,48065.05,48065.45,48053.6,48053.9,0
2024-04-23 10:26:00,48051.8,48051.9,48012.75,48017.2,0
2024-04-23 10:27:00,48015.65,48032.75,48012.35,48026.45,0
2024-04-23 10:28:00,48027.9,48029.6,48019.7,48020.5,0
2024-04-23 10:29:00,48017.85,48020.05,47978.85,48001.75,0
2024-04-23 10:30:00,47998.65,48010.25,47989.05,47999.0,0
2024-04-23 10:31:00,48001.0,48007.0,47993.4,48004.15,0
2024-04-23 10:32:00,48004.05,48006.9,47997.15,48002.25,0
2024-04-23 10:33:00,48002.05,48006.8,47992.55,47995.65,0
2024-04-23 10:34:00,47996.0,48001.85,47985.3,48000.1,0
2024-04-23 10:35:00,48000.55,48001.8,47984.65,47994.45,0
2024-04-23 10:36:00,47994.85,48001.9,47991.1,48001.1,0
2024-04-23 10:37:00,48001.1,48013.1,47997.65,48007.0,0
2024-04-23 10:38:00,48006.45,48014.5,48004.5,48013.65,0
2024-04-23 10:39:00,48013.25,48020.85,48007.0,48018.2,0
2024-04-23 10:40:00,48019.4,48022.95,47983.7,47989.35,0
2024-04-23 10:41:00,47989.5,47996.3,47966.8,47971.1,0
2024-04-23 10:42:00,47969.5,47981.2,47966.85,47967.15,0
2024-04-23 10:43:00,47967.7,47990.8,47966.8,47983.55,0
2024-04-23 10:44:00,47981.8,47986.8,47958.05,47958.2,0
2024-04-23 10:45:00,47958.45,47978.05,47958.0,47975.95,0
2024-04-23 10:46:00,47973.05,47984.85,47971.65,47975.65,0
2024-04-23 10:47:00,47976.25,47977.45,47958.75,47972.25,0
2024-04-23 10:48:00,47969.25,47975.75,47957.2,47958.15,0
2024-04-23 10:49:00,47956.55,47962.35,47937.45,47943.85,0
2024-04-23 10:50:00,47947.15,47961.85,47939.5,47960.5,0
2024-04-23 10:51:00,47956.95,47970.5,47955.7,47966.45,0
2024-04-23 10:52:00,47968.85,47978.15,47962.65,47973.3,0
2024-04-23 10:53:00,47972.85,47979.85,47959.6,47961.6,0
2024-04-23 10:54:00,47965.65,47972.2,47959.25,47962.65,0
2024-04-23 10:55:00,47963.9,47976.35,47960.5,47975.2,0
2024-04-23 10:56:00,47973.05,47982.65,47970.8,47978.35,0
2024-04-23 10:57:00,47978.45,47985.7,47976.55,47983.55,0
2024-04-23 10:58:00,47984.35,47998.65,47981.85,47981.85,0
2024-04-23 10:59:00,47984.95,47987.0,47969.8,47974.25,0
2024-04-23 11:00:00,47972.55,47978.85,47965.5,47969.3,0
2024-04-23 11:01:00,47969.3,47971.0,47958.7,47961.95,0
2024-04-23 11:02:00,47961.3,47961.95,47947.6,47955.5,0
2024-04-23 11:03:00,47955.85,47956.25,47942.35,47949.1,0
2024-04-23 11:04:00,47950.1,47965.95,47945.15,47947.45,0
2024-04-23 11:05:00,47945.75,47960.65,47945.75,47953.45,0
2024-04-23 11:06:00,47955.4,47962.4,47951.4,47958.85,0
2024-04-23 11:07:00,47958.85,47976.75,47958.85,47973.15,0
2024-04-23 11:08:00,47974.1,47982.25,47963.6,47968.25,0
2024-04-23 11:09:00,47971.4,47980.6,47968.75,47974.35,0
2024-04-23 11:10:00,47974.35,47993.15,47972.85,47982.75,0
2024-04-23 11:11:00,47980.4,47980.4,47962.85,47973.35,0
2024-04-23 11:12:00,47971.05,47975.2,47959.35,47964.2,0
2024-04-23 11:13:00,47962.9,47998.7,47960.2,47990.2,0
2024-04-23 11:14:00,47993.15,47995.75,47976.8,47982.75,0
2024-04-23 11:15:00,47985.45,48004.6,47976.7,47991.1,0
2024-04-23 11:16:00,47991.1,47997.5,47983.6,47993.85,0
2024-04-23 11:17:00,47991.55,48004.35,47986.55,47997.5,0
2024-04-23 11:18:00,48004.15,48004.65,47989.65,47992.5,0
2024-04-23 11:19:00,47998.8,48003.75,47988.5,47996.2,0
2024-04-23 11:20:00,48001.2,48005.7,47986.3,47998.8,0
2024-04-23 11:21:00,48004.6,48007.25,47991.3,47994.0,0
2024-04-23 11:22:00,47993.7,48005.1,47987.55,47995.75,0
2024-04-23 11:23:00,48001.0,48006.6,47993.0,48003.9,0
2024-04-23 11:24:00,48003.25,48026.2,47998.1,48018.6,0
2024-04-23 11:25:00,48018.6,48018.6,47999.65,48010.6,0
2024-04-23 11:26:00,48009.4,48017.55,48000.95,48004.9,0
2024-04-23 11:27:00,47999.4,48010.75,47997.55,48002.1,0
2024-04-23 11:28:00,47999.85,48010.9,47996.35,48010.1,0
2024-04-23 11:29:00,48007.05,48024.3,48004.45,48015.55,0
2024-04-23 11:30:00,48014.65,48029.6,48014.65,48016.9,0
2024-04-23 11:31:00,48017.6,48021.2,47994.85,48001.3,0
2024-04-23 11:32:00,47999.7,48015.05,47997.15,48008.65,0
2024-04-23 11:33:00,48010.0,48016.35,47996.05,48004.15,0
2024-04-23 11:34:00,48008.3,48009.2,47995.8,47996.4,0
2024-04-23 11:35:00,47999.35,48007.85,47994.05,47996.3,0
2024-04-23 11:36:00,47997.15,48004.95,47993.25,47998.4,0
2024-04-23 11:37:00,48000.65,48010.0,47993.3,47996.5,0
2024-04-23 11:38:00,47998.7,48006.4,47994.55,48000.4,0
2024-04-23 11:39:00,48004.65,48004.65,47993.6,47996.7,0
2024-04-23 11:40:00,47995.55,48010.6,47995.25,48009.1,0
2024-04-23 11:41:00,48006.9,48008.3,47992.7,48001.75,0
2024-04-23 11:42:00,48003.75,48010.9,48000.9,48007.2,0
2024-04-23 11:43:00,48006.2,48010.45,47996.7,48006.9,0
2024-04-23 11:44:00,48008.45,48017.35,48002.6,48009.55,0
2024-04-23 11:45:00,48011.6,48023.95,48003.6,48005.4,0
2024-04-23 11:46:00,48004.15,48015.25,48000.1,48002.85,0
2024-04-23 11:47:00,48008.3,48008.3,47986.2,47986.2,0
